iter	Passed	Remaining
0	17	1770
1	34	1666
2	49	1606
3	65	1572
4	81	1544
5	96	1510
6	111	1482
7	129	1484
8	144	1461
9	160	1445
10	176	1427
11	193	1415
12	210	1408
13	230	1417
14	249	1414
15	268	1411
16	286	1397
17	305	1390
18	323	1379
19	342	1369
20	360	1356
21	378	1343
22	397	1332
23	417	1321
24	435	1307
25	454	1293
26	473	1280
27	491	1264
28	510	1249
29	528	1232
30	546	1216
31	565	1202
32	584	1186
33	602	1170
34	620	1152
35	639	1136
36	658	1121
37	677	1105
38	696	1089
39	715	1073
40	734	1056
41	752	1039
42	771	1022
43	790	1005
44	808	988
45	827	971
46	846	954
47	864	937
48	883	919
49	901	901
50	919	883
51	936	864
52	952	844
53	968	825
54	985	806
55	1002	788
56	1020	769
57	1037	751
58	1056	734
59	1074	716
60	1091	698
61	1108	679
62	1125	661
63	1142	642
64	1159	624
65	1176	605
66	1192	587
67	1208	568
68	1224	550
69	1242	532
70	1260	514
71	1277	496
72	1292	478
73	1310	460
74	1327	442
75	1346	425
76	1365	407
77	1383	390
78	1403	373
79	1422	355
80	1441	338
81	1462	321
82	1482	303
83	1500	285
84	1519	268
85	1538	250
86	1558	232
87	1576	215
88	1595	197
89	1614	179
90	1632	161
91	1650	143
92	1669	125
93	1687	107
94	1704	89
95	1724	71
96	1742	53
97	1761	35
98	1779	17
99	1798	0
