,land_location,sgg_cd,emd_cd,land_gbn,bun,ji,bldg_nm,dong_nm,main_annex_gbn,purpose_cd,purpose_nm,etc_purpose_nm,household_cnt,family_cnt,ho_cnt,lon,lat
0,전라남도 광양시 중동 1294-1번지,46230,10600,0,"""1294""","""0001""",중동아파트,상가동,주건축물,3000,제1종근린생활시설,"제1종근린생활시설,제2종근린생황시설",0,0,6,127.6990052,34.9428994
1,전라남도 광양시 중동 1294번지,46230,10600,0,"""1294""","""0000""",중동아파트,108동,주건축물,2000,공동주택,주택,50,0,0,127.6996931,34.9433879
2,전라남도 광양시 중동 1294번지,46230,10600,0,"""1294""","""0000""",중동아파트,106동,주건축물,2000,공동주택,아파트,50,0,0,127.6996931,34.9433879
3,전라남도 광양시 중동 1294번지,46230,10600,0,"""1294""","""0000""",중동아파트,102동,주건축물,2000,공동주택,주택,50,0,0,127.6996931,34.9433879
4,전라남도 광양시 중동 1294번지,46230,10600,0,"""1294""","""0000""",중동아파트,105동,주건축물,2000,공동주택,아파트,40,0,0,127.6996931,34.9433879
5,전라남도 광양시 중동 1294번지,46230,10600,0,"""1294""","""0000""",중동아파트,103동,주건축물,2000,공동주택,주택,50,0,0,127.6996931,34.9433879
7,전라남도 광양시 중동 1294번지,46230,10600,0,"""1294""","""0000""",중동아파트,110동,주건축물,2000,공동주택,아파트,30,0,0,127.6996931,34.9433879
8,전라남도 광양시 중동 1294번지,46230,10600,0,"""1294""","""0000""",중동아파트,관리동,주건축물,2000,공동주택,공동주택,0,0,2,127.6996931,34.9433879
9,전라남도 광양시 중동 1294번지,46230,10600,0,"""1294""","""0000""",중동아파트,109동,주건축물,2000,공동주택,주택,40,0,0,127.6996931,34.9433879
10,전라남도 광양시 중동 1294번지,46230,10600,0,"""1294""","""0000""",중동아파트,107동,주건축물,2000,공동주택,주택,40,0,0,127.6996931,34.9433879
11,전라남도 광양시 중동 1294번지,46230,10600,0,"""1294""","""0000""",중동아파트,101동,주건축물,2000,공동주택,공동주택,50,0,0,127.6996931,34.9433879
12,전라남도 광양시 중동 1294번지,46230,10600,0,"""1294""","""0000""",중동아파트,104동,주건축물,2000,공동주택,아파트,50,0,0,127.6996931,34.9433879
13,전라남도 광양시 중동 1295-11번지,46230,10600,0,"""1295""","""0011""",,,주건축물,3000,제1종근린생활시설,제1종근린생활시설,0,0,12,127.6983592,34.9429249
14,전라남도 광양시 중동 1301-1번지,46230,10600,0,"""1301""","""0001""",동광아파트,302동,주건축물,2000,공동주택,아파트,148,0,0,127.7006838,34.9418849
15,전라남도 광양시 중동 1301-1번지,46230,10600,0,"""1301""","""0001""",동광아파트,301동,주건축물,2000,공동주택,주택,134,0,0,127.7006838,34.9418849
16,전라남도 광양시 중동 1301-1번지,46230,10600,0,"""1301""","""0001""",동광아파트,상가동,주건축물,2000,공동주택,상가,0,0,30,127.7006838,34.9418849
17,전라남도 광양시 중동 1301-1번지,46230,10600,0,"""1301""","""0001""",동광아파트,303동,주건축물,2000,공동주택,아파트,118,0,0,127.7006838,34.9418849
18,전라남도 광양시 중동 1307-8번지,46230,10600,0,"""1307""","""0008""",,,주건축물,3000,제1종근린생활시설,"위락시설,제1종근린생활시설,제2종근린생활시설",0,0,6,127.6996281,34.9401876
19,전라남도 광양시 중동 1309-1번지,46230,10600,0,"""1309""","""0001""",e편한세상 광양,102동,주건축물,2000,공동주택,"공동주택(아파트),보육시설,경로당,도서관,경비실",220,0,0,127.6988982,34.9392122
20,전라남도 광양시 중동 1309-1번지,46230,10600,0,"""1309""","""0001""",e편한세상 광양,101동,주건축물,2000,공동주택,"공동주택(아파트),판매시설, 운동시설, 업무시설,제1종근생",220,0,39,127.6988982,34.9392122
21,전라남도 광양시 중동 1316-4번지,46230,10600,0,"""1316""","""0004""",안산빌딩,,주건축물,4000,제2종근린생활시설,업무시설,0,0,12,127.697204,34.9414797
22,전라남도 광양시 중동 1316-5번지,46230,10600,0,"""1316""","""0005""",노블레스시티,,주건축물,2000,공동주택,"공동주택,업무시설,제1종근린생활시설",59,0,5,127.6970072,34.9414161
23,전라남도 광양시 중동 1321-7번지,46230,10600,0,"""1321""","""0007""",동원스타네옴,,주건축물,2000,공동주택,공동주택,50,0,0,127.697559,34.9432023
24,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,505동,주건축물,2000,공동주택,아파트,285,0,0,127.6934343,34.9425069
25,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,상가2동,주건축물,2000,공동주택,생활편익시설,0,0,13,127.6934343,34.9425069
26,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,502동,주건축물,2000,공동주택,아파트,165,0,1,127.6934343,34.9425069
27,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,상가3동,주건축물,2000,공동주택,근린생활시설,0,0,12,127.6934343,34.9425069
28,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,501동,주건축물,2000,공동주택,아파트,165,0,0,127.6934343,34.9425069
29,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,506동,주건축물,2000,공동주택,아파트,144,0,0,127.6934343,34.9425069
30,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,507동,주건축물,2000,공동주택,아파트,120,0,0,127.6934343,34.9425069
31,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,유치원동,주건축물,10000,교육연구시설,"유치원, 근린생활시설",0,0,4,127.6934343,34.9425069
32,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,509동,주건축물,2000,공동주택,아파트,122,0,0,127.6934343,34.9425069
33,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,503동,주건축물,2000,공동주택,아파트,165,0,0,127.6934343,34.9425069
34,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,504동,주건축물,2000,공동주택,아파트,180,0,0,127.6934343,34.9425069
35,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,상가동,주건축물,2000,공동주택,상가,0,0,19,127.6934343,34.9425069
36,전라남도 광양시 중동 1354번지,46230,10600,0,"""1354""","""0000""",동광아파트,508동,주건축물,2000,공동주택,아파트,120,0,0,127.6934343,34.9425069
37,전라남도 광양시 중동 1356-2번지,46230,10600,0,"""1356""","""0002""",선우아파트,101동,주건축물,2000,공동주택,공동주택(아파트),110,0,0,127.6922794,34.9410166
38,전라남도 광양시 중동 1356-2번지,46230,10600,0,"""1356""","""0002""",선우아파트,102동,주건축물,2000,공동주택,공동주택(아파트),40,0,0,127.6922794,34.9410166
39,전라남도 광양시 중동 1356-2번지,46230,10600,0,"""1356""","""0002""",선우아파트,103동,주건축물,2000,공동주택,생활편의시설,0,0,4,127.6922794,34.9410166
40,전라남도 광양시 중동 1356-2번지,46230,10600,0,"""1356""","""0002""",선우아파트,104동,주건축물,2000,공동주택,"부대시설(전기실,펌프실)",0,0,2,127.6922794,34.9410166
41,전라남도 광양시 중동 1358-2번지,46230,10600,0,"""1358""","""0002""",,,주건축물,2000,공동주택,"다세대주택, 근린생활시설",4,0,4,127.6936554,34.9419215
42,전라남도 광양시 중동 1361-20번지,46230,10600,0,"""1361""","""0020""",송림빌라,,주건축물,2000,공동주택,공동주택(다세대주택),8,0,0,127.6903365,34.9394881
43,전라남도 광양시 중동 1368-1번지,46230,10600,0,"""1368""","""0001""",,,주건축물,2000,공동주택,다세대주택,6,0,0,127.6862153,34.9408208
44,전라남도 광양시 중동 1368-7번지,46230,10600,0,"""1368""","""0007""",다세대주택,,주건축물,2000,공동주택,다세대주택,4,0,0,127.6861938,34.9407035
45,전라남도 광양시 중동 1372-2번지,46230,10600,0,"""1372""","""0002""",장수하이츠빌,장수하이츠빌,주건축물,2000,공동주택,다세대주택,6,0,0,127.6857458,34.940486
